Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
293,North Dakota,Sum,17-Sep,-10.05,97.6,107.6,67.4
294,Robert Morris,Horz,15-Apr,-10.12,99,109.2,67.6
295,Holy Cross,Pat,11-May,-10.25,98.1,108.4,69.5
296,NJIT,AE,12-Jul,-10.29,94.8,105.1,68.5
297,FIU,CUSA,17-Sep,-10.34,97.8,108.2,70.7
298,Towson,CAA,14-Apr,-10.39,99.9,110.3,66.1
299,William & Mary,CAA,10-Jul,-10.44,95.6,106,68.4
300,Fordham,A10,12-Feb,-10.69,87.3,98,64.1
301,Jacksonville,ASun,13-Nov,-10.77,93.9,104.6,67.9
302,St. Francis PA,NEC,16-Jun,-10.79,95.7,106.5,68.9
303,Louisiana Monroe,SB,19-Jul,-10.92,93.7,104.6,67.4
304,Western Illinois,Sum,15-Jul,-10.92,98,108.9,71.8
305,Troy,SB,17-Nov,-10.93,92.8,103.7,68.6
306,Middle Tennessee,CUSA,18-May,-11.17,91.8,103,69.5
307,North Florida,ASun,15-Aug,-11.18,102.1,113.3,66.8
308,Fairfield,MAAC,17-Oct,-11.24,95.4,106.7,64.6
309,Eastern Illinois,OVC,18-Sep,-11.43,96.2,107.7,69.2
310,Lamar,Slnd,18-Oct,-11.61,93.4,105,67.8
311,Southern,SWAC,11-Aug,-11.88,91.7,103.6,70.9
312,Nebraska Omaha,Sum,20-May,-11.94,94.5,106.4,71
313,Tennessee Tech,OVC,22-May,-12.05,96.8,108.9,69.1
314,Howard,MEAC,4-Jan,-12.18,99,111.1,69.9
315,Manhattan,MAAC,13-Jul,-12.52,90.2,102.7,67.3
316,Rider,MAAC,17-Jun,-12.53,100.1,112.6,67.9
317,Sacred Heart,NEC,9-Sep,-12.77,99.3,112,66.5
318,Tennessee St.,OVC,19-Apr,-12.82,91,103.8,71.5
319,USC Upstate,BSth,18-May,-12.87,95.5,108.4,68.6
320,SIU Edwardsville,OVC,17-Sep,-13.04,93.3,106.4,68.5
321,Northwestern St.,Slnd,18-Nov,-13.18,97.1,110.3,71.1
322,Binghamton,AE,14-Apr,-13.48,97.8,111.3,66.3
323,Grambling St.,SWAC,12-Dec,-13.57,92.2,105.8,70.1
324,Presbyterian,BSth,15-Jul,-13.63,91.4,105,66
325,Hampton,BSth,14-Nov,-13.82,95.6,109.5,70.7
326,Northern Arizona,BSky,16-Jun,-14.09,98.4,112.5,64.2
327,North Carolina Central,MEAC,9-May,-14.42,94,108.4,66.3
328,Portland,WCC,15-Jun,-14.55,96.8,111.4,71.4
329,Air Force,MWC,20-May,-14.57,95.2,109.7,63.1
330,San Jose St.,MWC,16-May,-14.77,96.5,111.2,72.1
331,Dixie St.,WAC,13-Aug,-15,91.5,106.5,73.4
332,Central Arkansas,Slnd,19-May,-15.14,97.8,113,71.1
333,Lehigh,Pat,11-Apr,-15.32,92.5,107.8,70.3
334,Cal Poly,BW,20-Apr,-15.44,90,105.5,67.1
335,Northern Illinois,MAC,16-Mar,-15.58,94.3,109.8,65.7
336,Kennesaw St.,ASun,19-May,-16.5,88,104.5,69.7
337,Charleston Southern,BSth,18-Mar,-16.65,90.6,107.2,69.9
338,Southeastern Louisiana,Slnd,18-Aug,-16.78,93.3,110.1,68.9
339,Central Connecticut,NEC,16-May,-16.91,93.6,110.5,70.6
340,McNeese St.,Slnd,14-Oct,-17.54,96.2,113.7,68.8
341,Houston Baptist,Slnd,19-Jun,-17.79,92.8,110.6,72.9
342,Incarnate Word,Slnd,14-Aug,-17.86,93.9,111.7,64.9
343,Denver,Sum,19-Feb,-18.09,94.1,112.2,71.2
344,Maine,AE,7-Feb,-18.17,86.5,104.7,64.9
345,Texas A&M Corpus Chris,Slnd,19-May,-18.27,89.7,108,69.9
346,Alcorn St.,SWAC,13-Jun,-18.28,91.2,109.5,69.7
347,Tennessee Martin,OVC,16-Aug,-19.26,93,112.2,67.7
348,Alabama A&M,SWAC,9-Jun,-20.02,85.1,105.1,67.8
349,Bethune Cookman,MEAC,0-0,-20.66,90.9,111.6,72.5
350,Delaware St.,MEAC,16-Mar,-22.53,91.5,114.1,73.6
351,Arkansas Pine Bluff,SWAC,21-Apr,-22.62,91.5,114.1,67.3
352,Idaho,BSky,21-Jan,-22.98,90.4,113.4,67.1
353,South Carolina St.,MEAC,17-Jan,-23.53,87.7,111.2,72
354,Alabama St.,SWAC,14-Apr,-25.09,84.6,109.7,71.1
355,Maryland Eastern Shore,MEAC,0-0,-25.73,84.7,110.4,68
356,Chicago St.,WAC,0-9,-27.97,89,116.9,67.8
357,Mississippi Valley St.,SWAC,22-Feb,-40.49,79.7,120.1,71.4
